IOUT_DIFF X,IOUT_DIFF Y
0,0
1e-05,2.000676627174013e-09
2e-05,3.992216395824865e-09
3e-05,5.965450567275493e-09
4e-05,7.911318606249392e-09
5e-05,9.820905438608819e-09
6e-05,1.168547166498336e-08
7.000000000000001e-05,1.34964949842486e-08
8.000000000000001e-05,1.5245710367459e-08
9.000000000000001e-05,1.692514841530108e-08
0.0001,1.852717180157814e-08
0.00011,2.004450961968489e-08
0.00012,2.147028949319905e-08
0.00013,2.279806734526068e-08
0.00014,2.402185475335084e-08
0.00015,2.513614384627367e-08
0.00016,2.61359297267593e-08
0.00017,2.701673042630023e-08
0.00018,2.777460441716872e-08
0.00019,2.840616572036575e-08
0.0002,2.890859665686182e-08
0.00021,2.927965829314401e-08
0.00022,2.951769863110856e-08
0.00023,2.962165858710744e-08
0.00024,2.959107579606724e-08
0.00025,2.942608626508294e-08
0.00026,2.912742388746193e-08
0.0002700000000000001,2.869641781395368e-08
0.0002800000000000001,2.813498766395388e-08
0.0002900000000000001,2.744563654673531e-08
0.0003000000000000001,2.663144185238289e-08
0.0003100000000000002,2.569604376470557e-08
0.0003200000000000002,2.464363144517125e-08
0.0003300000000000002,2.347892683782413e-08
0.0003400000000000002,2.22071660511406e-08
0.0003500000000000003,2.083407828377359e-08
0.0003600000000000003,1.936586227691499e-08
0.0003700000000000003,1.780916029674698e-08
0.0003800000000000003,1.617102967515203e-08
0.0003900000000000004,1.445891196536952e-08
0.0004000000000000004,1.2680599800155e-08
0.0004100000000000004,1.084420157308722e-08
0.0004200000000000005,8.958104096947394e-09
0.0004300000000000005,7.030933426357528e-09
0.0004400000000000005,5.071514063289578e-09
0.0004500000000000005,3.088826793066929e-09
0.0004600000000000006,1.091965423623649e-09
0.0004700000000000006,-9.099072783845048e-10
0.0004800000000000006,-2.907604145750079e-09
0.0004900000000000006,-4.891958344423576e-09
0.0005000000000000007,-6.853867960920614e-09
0.0005100000000000007,-8.784340124143422e-09
0.0005200000000000007,-1.067453435160961e-08
0.0005300000000000007,-1.251580482486753e-08
0.0005400000000000008,-1.429974131921893e-08
0.0005500000000000008,-1.601820853770696e-08
0.0005600000000000008,-1.766338362798758e-08
0.0005700000000000008,-1.922779169194423e-08
0.0005800000000000009,-2.070433913104712e-08
0.0005900000000000009,-2.208634470385911e-08
0.0006000000000000009,-2.336756820507647e-08
0.0006100000000000009,-2.454223670683048e-08
0.000620000000000001,-2.560506833148349e-08
0.000630000000000001,-2.655129355050653e-08
0.000640000000000001,-2.737667402489168e-08
0.0006500000000000011,-2.807751901899482e-08
0.0006600000000000011,-2.86506994310349e-08
0.0006700000000000011,-2.909365948991951e-08
0.0006800000000000011,-2.940442616951932e-08
0.0006900000000000012,-2.958161636853754e-08
0.0007000000000000012,-2.962444189713358e-08
0.0007100000000000012,-2.953271230128151e-08
0.0007200000000000012,-2.930683554334183e-08
0.0007300000000000013,-2.894781654333436e-08
0.0007400000000000013,-2.845725357130754e-08
0.0007500000000000013,-2.78373324674777e-08
0.0007600000000000013,-2.709081865522593e-08
0.0007700000000000014,-2.62210469027699e-08
0.0007800000000000014,-2.523190878382998e-08
0.0007900000000000014,-2.412783778614831e-08
0.0008000000000000014,-2.291379201991459e-08
0.0008100000000000015,-2.159523448649899e-08
0.0008200000000000015,-2.017811088090398e-08
0.0008300000000000015,-1.866882491962496e-08
0.0008400000000000016,-1.707421120810576e-08
0.0008500000000000016,-1.540150568846592e-08
0.0008600000000000016,-1.365831373806041e-08
0.0008700000000000016,-1.185257602118923e-08
0.0008800000000000017,-9.992532229793129e-09
0.0008900000000000017,-8.08668288226017e-09
0.0009000000000000017,-6.143749382094175e-09
0.0009100000000000017,-4.172632568614126e-09
0.0009200000000000018,-2.182370019250734e-09
0.0009300000000000018,-1.820923863006624e-10
0.0009400000000000018,1.819020930671142e-09
0.0009500000000000018,3.811786462605111e-09
0.0009600000000000019,5.787061378082613e-09
0.0009700000000000019,7.735787898257905e-09
0.0009800000000000019,9.649037103801913e-09
0.0009900000000000019,1.151805182988697e-08
0.001000000000000002,1.333428836261241e-08
0.001010000000000002,1.508945667274557e-08
0.001020000000000002,1.677555894936133e-08
0.001030000000000002,1.838492622592694e-08
0.001040000000000002,1.991025292362059e-08
0.001050000000000002,2.134462917007002e-08
0.001060000000000002,2.2681570785044e-08
0.001070000000000002,2.39150468569797e-08
0.001080000000000002,2.50395048644446e-08
0.001090000000000002,2.604989332374423e-08
0.001100000000000002,2.694168196727908e-08
0.001110000000000002,2.771087947624598e-08
0.001120000000000002,2.835404880526443e-08
0.001130000000000002,2.886832014575421e-08
